,Programma,Data,Tipologia,parakeet,whisper_large,whisperx,assemblyai
0,MEZZORAINPIU,10_10_21,TalkShow,0.15,0.107,0.129,0.171
1,MEZZORAINPIU,14_03_21,TalkShow,0.154,0.16,0.112,0.124
2,MEZZORAINPIU,23_05_21,TalkShow,0.071,0.066,0.028,0.038
3,MEZZORAINPIU,24_10_21,TalkShow,0.104,0.088,0.093,0.109
4,MEZZORAINPIU,27_03_22,TalkShow,0.173,0.147,0.11,0.131
5,PORTAPORTA,09_06_21,TalkShow,0.11,0.254,0.121,0.131
6,PORTAPORTA,15_06_22,TalkShow,0.097,0.13,0.074,0.079
7,PORTAPORTA,22_06_22,TalkShow,0.132,0.168,0.112,0.128
8,PORTAPORTA,23_06_22,TalkShow,0.179,0.142,0.124,0.144
9,PORTAPORTA,28_06_22,TalkShow,0.123,0.145,0.116,0.154
10,PRESADIRETTA,07_02_22,Inchiesta,0.125,0.101,0.087,0.104
11,PRESADIRETTA,13_03_23,Inchiesta,0.094,0.085,0.094,0.094
12,PRESADIRETTA,14_02_22,Inchiesta,0.102,0.113,0.104,0.118
13,PRESADIRETTA,14_03_22,Inchiesta,0.065,0.08,0.082,0.11
14,PRESADIRETTA,15_03_21,Inchiesta,0.188,0.132,0.162,0.166
15,REPORT,10_05_21,Inchiesta,0.167,0.101,0.117,0.143
16,REPORT,11_04_22,Inchiesta,0.132,0.105,0.089,0.1
17,REPORT,12_04_21,Inchiesta,0.155,0.145,0.191,0.18
18,REPORT,13_06_22,Inchiesta,0.184,0.125,0.1,0.128
19,REPORT,20_12_21,Inchiesta,0.112,0.082,0.108,0.126
20,ULISSE,03_06_21,Divulgazione,0.123,0.087,0.082,0.082
21,ULISSE,05_05_21,Divulgazione,0.195,0.141,0.128,0.141
22,ULISSE,09_04_22,Divulgazione,0.106,0.078,0.073,0.092
23,ULISSE,16_04_22,Divulgazione,0.12,0.101,0.109,0.12
24,ULISSE,21_04_21,Divulgazione,0.1,0.072,0.064,0.075
25,ULISSE,23_04_22,Divulgazione,0.059,0.046,0.039,0.047
26,ULISSE,25_01_22,Divulgazione,0.185,0.122,0.104,0.126
27,ULISSE,27_05_21,Divulgazione,0.103,0.064,0.055,0.07
28,ULISSE,28_04_21,Divulgazione,0.091,0.072,0.042,0.058
29,ULISSE,30_04_22,Divulgazione,0.225,0.17,0.175,0.182
