,Programma,Data,Tipologia,parakeet,whisper_large,whisperx,assemblyai
0,MEZZORAINPIU,10_10_21,TalkShow,0.7002895571291446,0.7362885654110599,0.7272452048819374,0.7251816631743202
1,MEZZORAINPIU,14_03_21,TalkShow,0.77137738898461,0.7663726314612023,0.8196238028248409,0.8183888657204
2,MEZZORAINPIU,23_05_21,TalkShow,0.868225804753433,0.8356206458213642,0.8840871128291566,0.8780697872398665
3,MEZZORAINPIU,24_10_21,TalkShow,0.8193108454517934,0.8375956686748856,0.8387463180669423,0.8345143100653571
4,MEZZORAINPIU,27_03_22,TalkShow,0.7625083347215601,0.7847191058585178,0.7969205024611691,0.7948763457977254
5,PORTAPORTA,09_06_21,TalkShow,0.6993059901675166,0.6553732030622668,0.7134367424558125,0.7164589823936682
6,PORTAPORTA,15_06_22,TalkShow,0.7288711318110213,0.7215398372861531,0.7478746455651991,0.749755632373326
7,PORTAPORTA,22_06_22,TalkShow,0.703150280767627,0.7113761852593407,0.726836813425874,0.7276236095155278
8,PORTAPORTA,23_06_22,TalkShow,0.7271418853867587,0.7430267423321664,0.7485267129703689,0.7442998296731141
9,PORTAPORTA,28_06_22,TalkShow,0.6922958942631383,0.7017910265755261,0.7086733199924212,0.7121367210555252
10,PRESADIRETTA,07_02_22,Inchiesta,0.734263595314913,0.7319897686326227,0.7388295000672737,0.7387734610079927
11,PRESADIRETTA,13_03_23,Inchiesta,0.7208081660942631,0.7293368041885565,0.7328367652082295,0.7333466742442262
12,PRESADIRETTA,14_02_22,Inchiesta,0.7889116067705109,0.7958648388663208,0.796210606089906,0.7979544693834042
13,PRESADIRETTA,14_03_22,Inchiesta,0.7327488462718543,0.7515271439501208,0.7439092968900999,0.7452189358265401
14,PRESADIRETTA,15_03_21,Inchiesta,0.7724685350184461,0.7547884956910843,0.7779948311608013,0.7773779074379498
15,REPORT,10_05_21,Inchiesta,0.6813844216062318,0.6952084197785079,0.683541395819677,0.6910778169772333
16,REPORT,11_04_22,Inchiesta,0.8513651856363287,0.8588301903057918,0.8644907602152241,0.8620451600428372
17,REPORT,12_04_21,Inchiesta,0.739814671522537,0.7474625185030727,0.7458065323161884,0.7460085387176433
18,REPORT,13_06_22,Inchiesta,0.8096922671364266,0.8190783439008466,0.8198846011718393,0.8178058624039934
19,REPORT,20_12_21,Inchiesta,0.716971438125186,0.7302096759279569,0.7244627146181346,0.7212903005313072
20,ULISSE,03_06_21,Divulgazione,0.7977204042360128,0.7990846817764298,0.820924366978114,0.8197175336108498
21,ULISSE,09_04_22,Divulgazione,0.8014517174854588,0.8179042289624564,0.826727463286191,0.8239504009118088
22,ULISSE,16_04_22,Divulgazione,0.8614006505301949,0.8798221210901047,0.8821078554502412,0.8799243229268049
23,ULISSE,25_01_22,Divulgazione,0.7740154642456717,0.812031145795973,0.8151322592467934,0.8161448861083572
24,ULISSE,27_05_21,Divulgazione,0.7749320940892546,0.8037580871117501,0.8137400902747384,0.81356469770534
25,ULISSE,28_04_21,Divulgazione,0.8489136058457954,0.8672827131466238,0.8704680781209183,0.8686356653576482
26,ULISSE,05_05_21,Divulgazione,0.7802832717999092,0.8035913593042587,0.8035790719235759,0.8024484145407652
27,ULISSE,21_04_21,Divulgazione,0.821982293371133,0.8411426416058728,0.8404082205588683,0.8380243788559765
28,ULISSE,30_04_22,Divulgazione,0.8384948852217465,0.8538199873167985,0.8574040139028114,0.8583103354337515
29,ULISSE,23_04_22,Divulgazione,0.8970719172352402,0.8885046342217916,0.9064861487936986,0.9049732744758089
