,Programma,Data,Tipologia,parakeet,whisper_large,whisperx,assemblyai
0,MEZZORAINPIU,10_10_21,TalkShow,49.548,41.438,44.936,45.781
1,MEZZORAINPIU,14_03_21,TalkShow,43.343,36.115,34.631,35.513
2,MEZZORAINPIU,23_05_21,TalkShow,25.006,27.341,24.365,24.823
3,MEZZORAINPIU,24_10_21,TalkShow,33.416,30.767,30.198,31.188
4,MEZZORAINPIU,27_03_22,TalkShow,43.628,34.1,39.594,39.619
5,PORTAPORTA,09_06_21,TalkShow,56.628,57.735,51.169,52.267
6,PORTAPORTA,15_06_22,TalkShow,44.755,41.812,39.612,41.17
7,PORTAPORTA,22_06_22,TalkShow,45.048,42.716,40.463,41.053
8,PORTAPORTA,23_06_22,TalkShow,44.373,38.718,39.791,41.148
9,PORTAPORTA,28_06_22,TalkShow,48.631,44.896,43.979,45.048
10,PRESADIRETTA,07_02_22,Inchiesta,48.427,45.309,45.737,46.514
11,PRESADIRETTA,13_03_23,Inchiesta,44.83,43.962,44.265,44.291
12,PRESADIRETTA,14_02_22,Inchiesta,38.683,34.277,35.622,35.793
13,PRESADIRETTA,14_03_22,Inchiesta,45.983,37.642,41.916,43.066
14,PRESADIRETTA,15_03_21,Inchiesta,42.968,43.438,40.09,40.951
15,REPORT,10_05_21,Inchiesta,62.128,59.683,58.86,58.106
16,REPORT,11_04_22,Inchiesta,30.123,23.955,26.607,26.895
17,REPORT,12_04_21,Inchiesta,52.089,49.563,49.409,49.85
18,REPORT,13_06_22,Inchiesta,35.924,32.471,32.518,32.141
19,REPORT,20_12_21,Inchiesta,50.25,46.252,47.265,47.822
20,ULISSE,03_06_21,Divulgazione,34.179,32.58,30.437,31.236
21,ULISSE,05_05_21,Divulgazione,34.156,30.7,30.453,31.876
22,ULISSE,09_04_22,Divulgazione,30.968,27.804,27.713,28.97
23,ULISSE,16_04_22,Divulgazione,25.716,21.27,23.609,25.722
24,ULISSE,21_04_21,Divulgazione,31.374,27.415,28.192,29.049
25,ULISSE,23_04_22,Divulgazione,22.797,18.044,19.558,20.862
26,ULISSE,25_01_22,Divulgazione,33.246,29.432,30.633,30.804
27,ULISSE,27_05_21,Divulgazione,33.855,30.712,31.043,32.709
28,ULISSE,28_04_21,Divulgazione,27.921,23.781,24.909,26.626
29,ULISSE,30_04_22,Divulgazione,25.613,27.044,25.745,27.407
